# Project Name, Track, Team Number, Room Name, Devpost URL, Prize1|Prize2|...
Budget Planner #1, Health, 1, JRR A97, , Best Hardware Hack
Chat Platform #47, Education, 47, JRR 399 (Ruehl Family Room), , AI Research and Alignment Environments|Best AI-Powered App|Best Use of Knot API
Transit App #48, Sustainability, 48, JRR 399 (Ruehl Family Room), , Best Domain Name from GoDaddy Registry|Best Use of Gemini API|Best Use of K2 Think V2
Health Tracker #49, Sustainability, 49, JRR 399 (Ruehl Family Room), , Best AI-Powered App|Best Sustainability Hack|Most Creative Use of Anthropic API
Study Buddy #50, Health, 50, JRR 399 (Ruehl Family Room), , AI Research and Alignment Environments|Best Hardware Hack|Best Use of K2 Think V2
Music Generator #51, Finance, 51, JRR 399 (Ruehl Family Room), , AI & Tech for Clinical Trials by Regeneron
Transit App #52, Finance, 52, JRR 399 (Ruehl Family Room), , AI Research and Alignment Environments|Best Use of K2 Think V2|Best Use of Knot API
Transit App #53, Entertainment + Media, 53, JRR 399 (Ruehl Family Room), , AI Research and Alignment Environments|Best Sustainability Hack|Best Use of Knot API
Health Tracker #54, Finance, 54, LAS 144, , Best Hardware Hack|Best Sustainability Hack|Best Use of K2 Think V2
Chat Platform #55, Social Good, 55, LAS 144, , 
Eco Monitor #56, Sustainability, 56, LAS 144, , Best Sustainability Hack|Best Use of Knot API
Music Generator #57, Education, 57, LAS 144, , AI Research and Alignment Environments|Best Use of K2 Think V2
Music Generator #58, Education, 58, LAS A71, , Best Use of K2 Think V2|Best Use of Knot API
AI Assistant #59, Business and Enterprise, 59, LAS A71, , 
Budget Planner #60, Education, 60, LAS A71, , Best Sustainability Hack|Best Use of Gemini API|Best Use of Knot API
Health Tracker #61, Education, 61, LAS A71, , 
Music Generator #62, Business and Enterprise, 62, LAS A71, , 
Eco Monitor #63, Health, 63, LAS A71, , Best Use of K2 Think V2
Music Generator #64, Business and Enterprise, 64, LAS A71, , Best AI-Powered App|Best Use of Gemini API|Best Use of Knot API
Health Tracker #65, Entertainment + Media, 65, LAS A71, , AI Research and Alignment Environments|Best Domain Name from GoDaddy Registry|Most Creative Use of Anthropic API
Chat Platform #66, Social Good, 66, LAS A71, , AI & Tech for Clinical Trials by Regeneron
Study Buddy #67, Business and Enterprise, 67, LAS B60A, , 
Health Tracker #68, Entertainment + Media, 68, LAS B60A, , Best Hardware Hack|Best Use of Gemini API
AR Navigator #69, Social Good, 69, LAS B60A, , Best Use of Gemini API
Eco Monitor #70, Entertainment + Media, 70, LAS B60A, , Best Domain Name from GoDaddy Registry|Best Use of Gemini API
Eco Monitor #71, Finance, 71, LAS B60B, , Best AI-Powered App|Best Use of Gemini API
Health Tracker #72, Sustainability, 72, LAS B60B, , AI Research and Alignment Environments|Best AI-Powered App|Best Hardware Hack
Transit App #73, Education, 73, LAS B60B, , Best AI-Powered App
Budget Planner #74, Health, 74, LAS B60B, , AI Research and Alignment Environments|Most Creative Use of Anthropic API
AR Navigator #75, Entertainment + Media, 75, LAS B60B, , Best Domain Name from GoDaddy Registry|Best Use of Gemini API
Chat Platform #76, Health, 76, LAS B60B, , 
Budget Planner #77, Business and Enterprise, 77, LAS B60B, , AI & Tech for Clinical Trials by Regeneron|Best Domain Name from GoDaddy Registry
Health Tracker #78, Health, 78, LAS B60C, , AI Research and Alignment Environments
Eco Monitor #79, Education, 79, LAS B60C, , 
AI Assistant #80, Sustainability, 80, LAS B60C, , Best AI-Powered App|Best Domain Name from GoDaddy Registry|Best Sustainability Hack
Music Generator #81, Social Good, 81, LAS B60C, , Best Use of K2 Think V2
Chat Platform #82, Entertainment + Media, 82, Robertson 001, , AI Research and Alignment Environments
AR Navigator #83, Health, 83, Robertson 001, , 
Study Buddy #84, Sustainability, 84, Robertson 001, , AI & Tech for Clinical Trials by Regeneron|AI Research and Alignment Environments|Best Hardware Hack
Transit App #85, Business and Enterprise, 85, Robertson 001, , AI & Tech for Clinical Trials by Regeneron|Best Use of Knot API
Chat Platform #86, Education, 86, Robertson 001, , Best Sustainability Hack|Best Use of K2 Think V2
AR Navigator #87, Health, 87, Robertson 001, , Best Use of K2 Think V2
AI Assistant #88, Social Good, 88, Robertson 001, , Best Hardware Hack|Best Use of K2 Think V2|Best Use of Knot API
Budget Planner #89, Entertainment + Media, 89, Robertson 001, , Best AI-Powered App
Chat Platform #90, Finance, 90, Robertson 001, , Most Creative Use of Anthropic API
AI Assistant #91, Social Good, 91, Robertson 001, , Best AI-Powered App|Best Use of Gemini API|Most Creative Use of Anthropic API
Study Buddy #92, Entertainment + Media, 92, Robertson 001, , 
Transit App #93, Sustainability, 93, Robertson 002, , Best Use of Gemini API|Most Creative Use of Anthropic API
Eco Monitor #94, Education, 94, Robertson 002, , AI & Tech for Clinical Trials by Regeneron
Health Tracker #95, Sustainability, 95, Robertson 002, , 
Food Finder #96, Education, 96, Robertson 002, , AI Research and Alignment Environments|Best Use of Gemini API
AI Assistant #97, Entertainment + Media, 97, Robertson 002, , 
Music Generator #98, Finance, 98, Robertson 002, , 
Chat Platform #99, Social Good, 99, Robertson 002, , Best Domain Name from GoDaddy Registry
Budget Planner #100, Health, 100, Robertson 002, , AI Research and Alignment Environments|Best Domain Name from GoDaddy Registry
AI Assistant #101, Social Good, 101, Robertson 002, , Best AI-Powered App|Best Domain Name from GoDaddy Registry
Health Tracker #102, Finance, 102, Robertson 002, , 
Study Buddy #103, Sustainability, 103, Robertson 002, , Best Use of Gemini API
Food Finder #104, Sustainability, 104, Robertson 005, , 
Music Generator #105, Finance, 105, Robertson 005, , 
Budget Planner #106, Entertainment + Media, 106, Robertson 005, , 
Study Buddy #107, Business and Enterprise, 107, Robertson 005, , AI & Tech for Clinical Trials by Regeneron|Best Use of Knot API
Food Finder #108, Entertainment + Media, 108, Robertson 010, , AI Research and Alignment Environments|Most Creative Use of Anthropic API
Eco Monitor #109, Business and Enterprise, 109, Robertson 010, , Most Creative Use of Anthropic API
Food Finder #110, Finance, 110, Robertson 010, , AI & Tech for Clinical Trials by Regeneron
Budget Planner #111, Finance, 111, Robertson 012, , Best Domain Name from GoDaddy Registry|Most Creative Use of Anthropic API
AR Navigator #112, Health, 112, Robertson 012, , Best Hardware Hack|Most Creative Use of Anthropic API
Music Generator #113, Health, 113, Robertson 012, , 
Budget Planner #114, Sustainability, 114, Robertson 014, , Best Hardware Hack|Best Use of Gemini API
Chat Platform #115, Finance, 115, Robertson 014, , 
Health Tracker #116, Business and Enterprise, 116, Robertson 015, , 
Health Tracker #117, Health, 117, Robertson 015, , Best AI-Powered App|Best Domain Name from GoDaddy Registry|Best Use of Gemini API
Music Generator #118, Business and Enterprise, 118, Robertson 015, , Best Domain Name from GoDaddy Registry|Best Hardware Hack
Budget Planner #119, Sustainability, 119, Robertson 015, , AI Research and Alignment Environments|Best Domain Name from GoDaddy Registry|Best Sustainability Hack
Budget Planner #120, Business and Enterprise, 120, Robertson 015, , Most Creative Use of Anthropic API
Study Buddy #121, Business and Enterprise, 121, Robertson 016, , Best AI-Powered App|Best Domain Name from GoDaddy Registry|Best Hardware Hack
AR Navigator #122, Health, 122, Robertson 016, , Best Hardware Hack
Chat Platform #123, Sustainability, 123, Robertson 016, , AI & Tech for Clinical Trials by Regeneron|Best AI-Powered App|Best Use of Gemini API
Eco Monitor #124, Health, 124, Robertson 016, , AI & Tech for Clinical Trials by Regeneron|AI Research and Alignment Environments|Best Use of Knot API
Transit App #125, Business and Enterprise, 125, Robertson 016, , AI & Tech for Clinical Trials by Regeneron
Transit App #126, Sustainability, 126, Robertson 016, , AI & Tech for Clinical Trials by Regeneron
AR Navigator #127, Education, 127, Robertson 016, , AI Research and Alignment Environments
Budget Planner #128, Social Good, 128, Robertson 016, , Best Use of Gemini API|Best Use of K2 Think V2|Most Creative Use of Anthropic API
Food Finder #129, Business and Enterprise, 129, Robertson 016, , Most Creative Use of Anthropic API
Health Tracker #130, Social Good, 130, Robertson 016, , Best Hardware Hack|Best Use of Gemini API|Most Creative Use of Anthropic API
Health Tracker #131, Social Good, 131, Robertson 016, , Best Domain Name from GoDaddy Registry|Most Creative Use of Anthropic API
Chat Platform #132, Social Good, 132, Robertson 016, , Best AI-Powered App|Best Hardware Hack|Most Creative Use of Anthropic API
Music Generator #133, Finance, 133, Robertson 020, , AI & Tech for Clinical Trials by Regeneron|Best Use of Knot API
Chat Platform #134, Education, 134, Robertson 020, , Best Domain Name from GoDaddy Registry|Best Sustainability Hack
Health Tracker #135, Education, 135, Robertson 020, , Best Sustainability Hack|Best Use of Gemini API|Most Creative Use of Anthropic API
Eco Monitor #136, Social Good, 136, Robertson 020, , AI & Tech for Clinical Trials by Regeneron|Best Use of Gemini API|Best Use of K2 Think V2
Transit App #137, Business and Enterprise, 137, Robertson 023, , Best Use of K2 Think V2
AR Navigator #138, Business and Enterprise, 138, Robertson 023, , Best Use of Gemini API
Transit App #139, Entertainment + Media, 139, Robertson 023, , Best Use of Gemini API|Best Use of Knot API
Chat Platform #140, Education, 140, Robertson 023, , 
Transit App #141, Finance, 141, Robertson 023, , 
Budget Planner #142, Sustainability, 142, Robertson 023, , AI & Tech for Clinical Trials by Regeneron|Best Hardware Hack|Best Use of K2 Think V2
Food Finder #143, Entertainment + Media, 143, Robertson 029, , Best Domain Name from GoDaddy Registry
Health Tracker #144, Finance, 144, Robertson 029, , Best AI-Powered App|Best Use of Gemini API|Best Use of K2 Think V2
Health Tracker #145, Education, 145, Robertson 029, , AI Research and Alignment Environments|Best Domain Name from GoDaddy Registry|Best Use of K2 Think V2
Transit App #146, Entertainment + Media, 146, Robertson 029, , 
Budget Planner #147, Health, 147, Robertson 035, , 
AR Navigator #148, Health, 148, Robertson 035, , Best AI-Powered App
Chat Platform #149, Education, 149, Robertson 035, , AI & Tech for Clinical Trials by Regeneron|Best Use of Knot API|Most Creative Use of Anthropic API
Budget Planner #150, Entertainment + Media, 150, Robertson 035, , Best Sustainability Hack|Most Creative Use of Anthropic API
